"Fly ID"	"Light Intensity(uW/mm2)"	"Wind status"	"Satiety"	"Genotype"	"Status"	"weighted_TSALE_P10"
9	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.770462633451957
10	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
11	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
12	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.526690391459075
13	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.149466192170818
14	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
15	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.218861209964413
16	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
17	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.364768683274021
18	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
19	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
20	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.7144128113879
21	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
22	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.179715302491103
23	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.9644128113879
24	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
25	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.402135231316726
26	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.829181494661922
33	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
34	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
35	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
36	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.809608540925267
37	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0213523131672598
38	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.726868327402135
39	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.576512455516014
40	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
41	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
42	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.652135231316726
43	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.269572953736655
44	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.434163701067616
45	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
46	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.555160142348754
47	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
48	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
49	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
50	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.663701067615658
51	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.998220640569395
52	"14uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.921708185053381
1	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.279359430604982
2	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.161921708185053
3	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0320284697508897
4	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.73220640569395
5	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.26067615658363
6	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.199288256227758
7	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.953736654804271
8	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.00533807829181495
9	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0355871886120996
10	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.368327402135231
11	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
12	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0916370106761566
13	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.171708185053381
14	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.188612099644128
15	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.166370106761566
16	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0266903914590747
17	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.300711743772242
18	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.122775800711744
19	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
20	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0284697508896797
21	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.516014234875445
22	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.117437722419929
23	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
24	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.238434163701068
25	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.965302491103203
26	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
33	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.298932384341637
34	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.853202846975089
35	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.874555160142349
36	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
37	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.362989323843416
38	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0925266903914591
39	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.606761565836299
40	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.286476868327402
41	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.27491103202847
42	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0533807829181495
43	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.133451957295374
44	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.882562277580071
45	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
46	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.096085409252669
47	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
48	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.304270462633452
49	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
50	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.380782918149466
51	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.390569395017794
52	"42uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0720640569395018
1	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.437722419928826
2	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.519572953736655
3	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0355871886120996
4	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
5	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
6	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.233096085409253
7	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.169039145907473
8	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
9	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.169039145907473
10	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
11	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
12	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.904804270462633
13	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.172597864768683
14	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
15	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.336298932384342
16	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.180604982206406
17	"42uW"	"Wind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.144128113879004
