"Fly ID"	"Light Intensity(uW/mm2)"	"Wind status"	"Satiety"	"Genotype"	"Status"	"weighted_TSALE_P10"
2	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
3	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.353021978021978
4	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.032967032967033
5	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.869505494505495
6	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.401098901098901
7	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.960164835164835
8	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
9	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
10	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
11	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.18543956043956
12	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.409340659340659
13	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
14	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
15	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.994505494505495
16	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
17	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.164835164835165
18	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
19	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.35989010989011
20	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.642857142857143
21	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
22	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.887362637362637
23	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
24	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
25	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.46978021978022
26	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.112637362637363
27	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.111263736263736
28	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.21978021978022
29	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.313186813186813
30	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
31	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
32	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
33	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0206043956043956
34	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
35	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
36	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.862637362637363
37	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.498626373626374
38	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
39	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
40	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
41	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
42	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
43	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.145604395604396
44	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
45	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
46	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.615384615384615
47	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.163461538461538
48	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
