"Fly ID"	"Light Intensity(uW/mm2)"	"Wind status"	"Satiety"	"Genotype"	"Status"	"weighted_TSALE_P10"
35	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
36	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
37	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
38	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.324832214765101
39	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.363758389261745
40	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.6
41	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
42	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.571812080536913
43	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.267114093959732
44	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
45	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
46	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
47	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
48	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
49	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
50	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.991946308724832
51	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
52	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
15	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.376640419947507
16	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.958005249343832
17	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
18	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
19	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
20	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
21	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
22	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.950131233595801
23	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.879265091863517
24	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
25	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
26	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
27	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
28	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
29	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.068241469816273
30	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.203412073490814
31	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
32	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.338582677165354
33	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
34	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.509186351706037
35	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.864829396325459
36	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.564304461942257
37	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.774278215223097
38	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.351706036745407
39	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.272965879265092
40	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.167979002624672
41	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
42	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
43	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.223097112860892
44	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.860892388451444
45	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.830708661417323
46	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.976377952755906
47	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.0131233595800525
